Title	Authors
Context-Preserving Dermoscopic Editing: Mask-Guided Lesion-Aware Diffusion for Attribute Modification	Tao Sun , Yun Jiang , Yarong Jin , Huanting Guo , Zequn Zhang
WarpRF: Multi-View Consistency for Training-Free Uncertainty Quantification and Applications in Radiance Fields	Sadra Safadoust , Fabio Tosi , Fatma Güney , Matteo Poggi
Trajectory Tactics: When Transformers Learn  Exploration to Generate Online Signature	Anurag Pandey , Aditya Nigam , Arnav Bhavsar , Ashutosh Sharma , Basu Verma , Divya Acharya , Mohd Amir
Sketch-guided Cage-based 3D Gaussian Splatting Deformation	Tianhao Xie , Noam Aigerman , Eugene Belilovsky , Tiberiu Popa
Denoise, Divide, Distill, and Predict (D3P): Towards Forecasting Long-horizon Real-world Anomaly from Normalcy	Quentin Mérilleau , Snehashis Majhi , Antitza Dantcheva , Quan Kong , Lorenzo Garattoni , Gianpiero Francesca , Francois Bremond
DMAT: An End-to-End Framework for Joint Atmospheric Turbulence Mitigation and Object Detection	Paul Hill , Zhiming Liu , Alin Achim , David Bull , Nantheera Anantrasirichai
Cluster-based Pseudo-labeling for Semi-Supervised LiDAR Semantic Segmentation	Qingju Guo , Shuang Li , Jing Geng , Binhui Xie , Jiawei Shan , Wei Li
Semantic Map Guided Bird's-Eye View Learning for Online HD Map Construction	Huantao Ren , Hesham Eraqi , ABM Musa , Mohamed Moustafa
KD360-VoxelBEV: LiDAR and 360-degree Camera Cross Modality Knowledge Distillation for Bird’s-Eye-View Segmentation	Wenke E , Yixin Sun , Jiaxu Liu , Hubert P. H. Shum , Amir Atapour-Abarghouei , Toby Breckon
SCAdapter: Content-Style Disentanglement for Diffusion Style Transfer	Meryem Taşyürek , Tuğçe Kızıltepe , Hacer Keles
Disentangle and Regularize: Sign Language Production with Articulator-Based Disentanglement and Channel-Aware Regularization	Meryem Taşyürek , Tuğçe Kızıltepe , Hacer Keles
Odo: Depth-Guided Diffusion for Identity-Preserving Body Reshaping	Siddharth Khandelwal , Sridhar Kamath , Arjun Jain
Distilling Offline Action Detection Models into Real-Time Streaming Models	Deep Patel , Yasunori Babazazki , YASUTO NAGASE , Iain Melvin , Martin Min
NeuroBridge: Few-Shot Cross-Modal Neuron Re-identification via Dual-Channel Deep Metric Learning	Wenwei Li , Mingwei Liao , Lingyi Cai , Anan LI
General and Domain-Specific Zero-shot Detection of Generated Images via Conditional Likelihood	Roy Betser , Omer Hofman , Roman Vainshtein , Guy Gilboa
Autoregressive Styled Text Image Generation, but Make it  Reliable	Carmine Zaccagnino , Fabio Quattrini , Vittorio Pippi , Silvia Cascianelli , Alessio Tonioni , Rita Cucchiara
Enhancing Visual Planning with Auxiliary Tasks and Multi-token Prediction	Ce Zhang , Yale Song , Ruta Desai , Michael Iuzzolino , Joseph Tighe , Gedas Bertasius , Satwik Kottur
MagicDrive3D: Controllable 3D Generation for Any-View Rendering in Street Scenes	Ruiyuan Gao , Kai Chen , Zhihao Li , Lanqing HONG , Zhenguo Li , Qiang Xu
Seeing is Believing (and Predicting): Context-Aware Multi-Human Behavior Prediction with Vision Language Models	Utsav Panchal , Yuchen Liu , Luigi Palmieri , Ilche Georgievski , Marco Aiello
Segmentation-Aware Latent Diffusion for Satellite Image Super-Resolution: Enabling Smallholder Farm Boundary Delineation	Aditi Agarwal , Anjali Jain , Nikita Saxena , Ishan Deshpande , Michal Kazmierski , Abigail Annkah , Nadav Sherman , Karthikeyan Shanmugam , Alok Talekar , Vaibhav Rajan
A Unified Diffusion-Based Framework for Multi-Agent Trajectory Prediction Integrating Structured Multi-Modal Representations	Chenxi yang , Suyang Xi , Hong Ding , Yiqing Shen , Yunhao Liu
CanKD: Cross-Attention-based Non-local operation for Feature-based Knowledge Distillation	Shizhe Sun , Wataru Ohyama
Saliency-Guided DETR for Moment Retrieval and Highlight Detection	Aleksandr Gordeev , Vladimir Dokholyan , Irina Tolstykh , Maksim Kuprashevich
Fine-grained Defocus Blur Control for Generative Image Models	Ayush Shrivastava , Connelly Barnes , Cecilia Zhang , Lingzhi Zhang , Andrew Owens , Sohrab Amirghodsi , Eli Shechtman
FNOPT: Resolution-Agnostic, Self-Supervised Cloth Simulation using Meta-Optimization with Fourier Neural Operators	Ruochen Chen , Thuy Tran , Shaifali Parashar
Federated Model Synchronization for Diagnostic Redefinition through a Novel Selective Parameter Unlearning	Mayank Kundalwal Kundalwal , Mamta Mamta , Deepak Mishra , Asif Ekbal
Distilling What and Why: Enhancing Driver Intention Prediction with MLLMs	SAINITHIN ARTHAM , Avijit Dasgupta , Shankar Gangisetty , Jawahar CV
ObjectCore -– Efficient Few-shot Logical Anomaly Detection using Object Representations	Matic Fučka , Vitjan Zavrtanik , Danijel Skocaj
Marshaled Learning: Bridging Large Neural Networks with Memory-Constrained Trusted Execution Environments in Federated Learning	Shiwei Ding , Xiaoyong Yuan , Zhenlin Wang , Lan Zhang , Giuseppe Ateniese
MergeSlide: Continual Model Merging and Task-to-Class Prompt-Aligned Inference for Lifelong Learning on Whole Slide Images	Bui Cao Doanh , Ba Ngo , Pham Luan , Khang Nguyen , Mai Nguyen , Yasuhiko Nakashima
UNO: Unifying One-stage Video Scene Graph Generation via Object-Centric Visual Representation Learning	Huy Le , Nhat Chung , Tung Kieu , Jingkang Yang , Ngan Le
AutoSew: A Geometric Approach to Stitching Prediction with Graph Neural Networks	Pablo Ríos , Elena Garces , Jorge Lopez-Moreno
Decomposition Sampling for Efficient Region Annotations in Active Learning	Jingna Qiu , Frauke Wilm , Mathias Oettl , Jonas Utz , Maja Schlereth , Moritz Schillinger , Marc Aubreville , Katharina Breininger
Polymorph: Energy-Efficient Multi-Label Classification for Video Streams on Embedded Devices	Saeid Ghafouri , Mohsen Fayyaz , Xiangchen Li , Deepu John , Bo Ji , Dimitrios Nikolopoulos , Hans Vandierendonck
mmWeaver: Environment-Specific mmWave Signal Synthesis from a Photo and Activity Description	Mahathir Monjur , Shahriar Nirjon
Sketch3R: Rapid and Realistic 3D VR Sketch Creation to Shape Retrieval	Mritunjoy Halder , Shivam Shukla , Lokender Tiwari , Raghav Mittal , Brojeshwar Bhowmick
Training-free Conditional Image Embedding Framework Leveraging Large Vision Language Models	Masayuki Kawarada , Kosuke Yamada , Antonio Tejero-de-Pablos , Naoto Inoue
CLUE: Bringing Machine Unlearning to Mobile Devices	A. Q. M. Sazzad Sayyed , Nathaniel Bastian , Michael Lucia , Ananthram Swami , Francesco Restuccia
From Street to Orbit: Training-Free Cross-View Retrieval via Location Semantics and LLM Guidance	Jeongho Min , Dongyoung Kim , Jaehyup Lee
FujiView: Multimodal Late-Fusion for Predicting Scenic Visibility	Bryce Bible , Shah Hasnaeen , Hairong Qi
Unsupervised Modular Adaptive Region Growing and RegionMix Classification for Wind Turbine Segmentation	Raül Pérez-Gonzalo , Riccardo Magro , Andreas Espersen , Antonio Agudo
BOP-Distrib: Revisiting 6D Pose Estimation Benchmarks for Better Evaluation under Visual Ambiguities	Boris Meden , Asma Brazi , Fabrice Mayran de Chamisso , Steve Bourgeois , Vincent Lepetit
Learnable Query-Enhanced Pose Transformation	Yi-Zhen Wang , Hong-Han Shuai
VLMDiff: Leveraging Vision-Language Models for Multi-Class Anomaly Detection with Diffusion	Samet Hicsonmez , Abd El Rahman Shabayek , Djamila Aouada
Bi-ICE: An Inner Interpretable Framework for Image Classification via Bi-directional Interactions between Concept and Input Embeddings	Jinyung Hong , Yearim Kim , Keun Hee Park , Sangyu Han , Nojun Kwak , Theodore Pavlic
Bridging the Domain Gap in Small Multimodal Models: A Dual-level Alignment Perspective	Aveen Dayal , Peketi Divya , Nidhi Tiwari , Linga Reddy Cenkeramaddi , C Mohan , Abhinav Kumar
UniTabBank: A Large Scale Multi-Lingual, Multi-Layout, Multi-Type, Multi-Format Dataset for Table Detection	Ajoy Mondal , Saumya Vijay Mundra , Avijit Dasgupta , Jawahar CV
